Wall time,Step,Value
1716331544.6380725,42,4.927389144897461
1716331545.7892745,45,4.520941734313965
1716331556.4318254,71,5.597321510314941
1716331565.5473835,94,5.184478282928467
1716331592.3051853,167,4.938410758972168
1716331615.2829986,229,3.6824212074279785
1716331617.143154,234,4.067867279052734
1716331625.1088254,255,4.001488208770752
1716331631.919233,273,3.6415326595306396
1716331645.1644592,308,5.2976484298706055
1716331646.0527074,310,4.284714698791504
1716331648.9105482,318,3.6174752712249756
1716331706.8602564,474,2.991568088531494
1716331730.5372562,536,3.627267599105835
1716331745.9547713,579,3.599010705947876
1716331748.453844,586,4.022282123565674
1716331766.0227723,634,3.7980284690856934
1716331770.7106843,647,3.2192959785461426
1716331779.6718554,671,4.277540683746338
1716331795.553796,714,3.8924694061279297
1716331798.390854,722,3.939279556274414
1716331821.0625165,785,4.882752895355225
1716331827.3208103,802,4.178888320922852
1716331829.4392207,808,3.9155523777008057
1716331839.8330858,836,3.5563642978668213
1716331940.7332735,971,3.1542203426361084
1716331956.5133069,1014,4.331294536590576
1716331975.3132079,1066,3.707387685775757
1716331989.1542742,1104,3.7160909175872803
1716332016.7848322,1180,3.9894967079162598
1716332046.7981255,1261,5.5019941329956055
1716332067.2963119,1316,3.413594961166382
1716332068.530276,1319,3.9166853427886963
1716332073.7977178,1333,3.899425983428955
1716332075.3361456,1337,3.9040517807006836
1716332093.1011686,1385,4.443459987640381
1716332095.553974,1392,4.055393218994141
1716332111.4480438,1436,2.999523401260376
1716332121.957979,1466,4.415693759918213
1716332142.9094546,1523,3.3525424003601074
1716332153.263583,1552,4.478957653045654
1716332158.9860692,1568,4.129998207092285
1716332164.4342568,1584,3.45017409324646
1716332203.569416,1691,3.1693294048309326
1716332213.2369308,1718,3.7879295349121094
1716332219.0233924,1734,3.443817377090454
1716332220.2150989,1737,3.261861562728882
1716332236.2157602,1781,5.566915988922119
1716332258.6679683,1844,3.34639310836792
1716332266.4823713,1866,4.8700385093688965
1716332270.446367,1877,3.823953151702881
1716332336.6375463,1917,4.381150722503662
1716332342.8601086,1934,4.353706359863281
1716332347.6849375,1947,3.8215651512145996
1716332380.1834319,2036,3.6070611476898193
1716332401.4353428,2096,3.535977363586426
1716332434.150407,2187,4.789012908935547
1716332438.596839,2199,3.2325093746185303
1716332450.4904275,2231,3.968791961669922
1716332452.7938263,2237,3.5667710304260254
1716332461.901616,2262,3.3544578552246094
1716332478.43447,2307,4.722947120666504
1716332508.9270682,2389,4.160981178283691
1716332526.979936,2436,2.7516000270843506
1716332532.9430463,2453,3.0797505378723145
1716332533.6659958,2455,3.9435930252075195
1716332535.4619126,2460,3.912412643432617
1716332544.4995763,2485,4.590810775756836
1716332544.826488,2486,5.127817153930664
1716332549.2260332,2498,4.178837776184082
1716332551.0741239,2503,3.271111249923706
1716332561.2462902,2532,5.954238414764404
1716332566.7201622,2547,3.786194324493408
1716332568.9006739,2553,3.9921443462371826
1716332617.687195,2685,3.734708309173584
1716332637.3958051,2740,3.722494125366211
1716332771.689175,2967,3.5600926876068115
1716332798.2004826,3038,3.5727996826171875
1716332799.3363905,3041,5.0563645362854
1716332820.437501,3099,3.703437089920044
1716332843.9948716,3161,3.9104466438293457
1716332869.4599736,3230,4.14170503616333
1716332874.74505,3244,3.80489182472229
1716332875.4232478,3246,3.506053924560547
1716332875.790393,3247,4.226500034332275
1716332896.9367902,3305,4.636468887329102
1716332960.7485237,3480,3.715648889541626
1716333011.7690642,3618,4.513590335845947
1716333012.471747,3620,2.8419036865234375
1716333030.882867,3670,2.737980842590332
1716333056.3654947,3741,4.482836723327637
1716333126.242802,3793,3.135681629180908
1716333133.8420832,3814,2.6050376892089844
1716333136.3859205,3821,3.45620059967041
1716333176.9982882,3928,5.048164367675781
1716333187.151227,3956,5.070657253265381
1716333197.3084044,3984,4.44531774520874
1716333215.7836576,4036,3.671635150909424
1716333239.5710888,4098,3.9941701889038086
1716333275.1220462,4196,2.945250988006592
1716333286.7182243,4227,3.142463445663452
1716333288.396791,4232,4.4605913162231445
1716333319.4887462,4317,3.407827138900757
1716333320.1251955,4319,3.9559409618377686
1716333349.4497397,4400,4.3419575691223145
1716333383.2401812,4492,3.8686978816986084
1716333389.4039547,4509,3.091373920440674
1716333397.1434724,4530,2.826414108276367
1716333453.4958994,4664,4.742230415344238
1716333456.0795228,4668,3.3376944065093994
1716333461.5552878,4676,3.1472511291503906
1716333564.7736526,4788,4.210179328918457
1716333570.0232065,4802,5.0347418785095215
1716333583.4222093,4840,4.582535743713379
1716333588.0449393,4852,3.9784679412841797
1716333603.5553632,4894,3.131226062774658
1716333631.7795522,4971,3.9580283164978027
1716333660.553456,5050,4.310762405395508
1716333661.1892145,5052,3.394136667251587
1716333680.3683019,5106,4.0330095291137695
1716333690.7224274,5134,4.765481948852539
1716333730.5603857,5239,2.2729804515838623
1716333762.863846,5329,3.8024628162384033
1716333768.707127,5345,4.43924617767334
1716333773.5659587,5359,3.5664620399475098
1716333795.6230292,5420,3.4404635429382324
1716333843.4744368,5549,3.387181520462036
1716333891.764373,5679,3.6609153747558594
1716333960.179761,5723,4.0873517990112305
1716333990.1257865,5808,3.892841100692749
1716333997.7304413,5828,3.10089111328125
1716334010.7375262,5864,4.0560994148254395
1716334013.3128114,5871,4.003841876983643
1716334026.478778,5907,4.043890476226807
1716334034.4553938,5928,3.7200393676757812
1716334057.6777966,5990,3.6583125591278076
1716334065.2498262,6010,2.9961156845092773
1716334105.9281518,6121,5.522154808044434
1716334109.532284,6131,3.398499011993408
1716334135.0760808,6200,3.63647723197937
1716334139.9238143,6213,3.5441648960113525
1716334141.981778,6219,5.370348930358887
1716334146.885231,6232,4.146581172943115
1716334167.3690634,6289,5.795009613037109
1716334175.988861,6312,3.7340621948242188
1716334177.8502238,6317,4.752337455749512
1716334199.7816546,6376,4.45903205871582
1716334251.5125892,6520,3.3251547813415527
1716334271.7267323,6574,3.507606267929077
1716334282.246176,6603,3.674482822418213
1716334352.9394815,6657,3.4048190116882324
1716334367.0479076,6696,5.029913425445557
1716334368.1902034,6699,3.441138744354248
1716334372.1534894,6711,3.429469108581543
1716334383.8559396,6742,4.860535621643066
1716334424.295176,6854,5.947782039642334
1716334465.3616576,6966,3.515073299407959
1716334475.1430738,6992,4.035536289215088
1716334483.4891608,7014,4.27194356918335
1716334518.8254914,7106,4.090861797332764
1716334521.6882915,7114,5.7639288902282715
1716334536.3376694,7155,5.315045356750488
1716334569.7355347,7247,3.660930633544922
1716334593.4523942,7311,3.208524465560913
1716334610.8886771,7359,5.079826354980469
